Treino,Média
2013-2014_treino_185.csv_128-1,0.65
2013-2014_treino_186.csv_128-1,0.64
2013-2014_treino_187.csv_128-1,0.64
2013-2014_treino_188.csv_128-1,0.64
2014-2015_treino_1.csv_128-1,0.56
2014-2015_treino_2.csv_128-1,0.56
2014-2015_treino_3.csv_128-1,0.56
2014-2015_treino_4.csv_128-1,0.57
2014-2015_treino_5.csv_128-1,0.56
2014-2015_treino_6.csv_128-1,0.55
2014-2015_treino_7.csv_128-1,0.56
2014-2015_treino_8.csv_128-1,0.56
2014-2015_treino_9.csv_128-1,0.55
2014-2015_treino_10.csv_128-1,0.55
2014-2015_treino_11.csv_128-1,0.55
2014-2015_treino_12.csv_128-1,0.55
2014-2015_treino_13.csv_128-1,0.55
2014-2015_treino_14.csv_128-1,0.55
2014-2015_treino_15.csv_128-1,0.56
2014-2015_treino_16.csv_128-1,0.56
2014-2015_treino_17.csv_128-1,0.55
2014-2015_treino_18.csv_128-1,0.55
2014-2015_treino_19.csv_128-1,0.55
2014-2015_treino_20.csv_128-1,0.55
2014-2015_treino_21.csv_128-1,0.55
2014-2015_treino_22.csv_128-1,0.56
2014-2015_treino_23.csv_128-1,0.57
2014-2015_treino_24.csv_128-1,0.57
2014-2015_treino_25.csv_128-1,0.57
2014-2015_treino_26.csv_128-1,0.57
2014-2015_treino_27.csv_128-1,0.57
2014-2015_treino_28.csv_128-1,0.57
2014-2015_treino_29.csv_128-1,0.56
2014-2015_treino_30.csv_128-1,0.56
2014-2015_treino_31.csv_128-1,0.55
2014-2015_treino_32.csv_128-1,0.55
